id,platform,cycle,lat,lon,date
3901261_093,3901261,93,1.16304,-88.14419,2017-06-08
6902672_057,6902672,57,-2.211,-85.05399999999997,2017-06-08
5903565_217,5903565,217,0.838,-110.709,2017-06-08
3900739_270,3900739,270,2.376,-93.902,2017-06-08
5904604_078,5904604,78,1.955,-115.673,2017-06-07
5904294_109,5904294,109,1.743,-95.661,2017-06-07
5904289_109,5904289,109,1.898,-102.295,2017-06-07
5903836_194,5903836,194,3.314,-102.818,2017-06-07
3901148_154,3901148,154,-1.628,-104.549,2017-06-07
3901164_179,3901164,179,1.97548,-89.7026,2017-06-06
3901160_179,3901160,179,1.22397,-109.05,2017-06-06
3901163_178,3901163,178,1.44761,-96.59444,2017-06-06
5904287_109,5904287,109,0.853,-110.772,2017-06-06
3901157_154,3901157,154,-0.595,-124.281,2017-06-06
3901233_049,3901233,49,-2.73477,-86.1927,2017-06-06
3901173_117,3901173,117,-1.287,-108.092,2017-06-06
5904307_177,5904307,177,0.36803,-112.60104,2017-06-05
3901234_049,3901234,49,-3.13557,-91.11866,2017-06-05
5904603_078,5904603,78,-0.585,-93.23,2017-06-05
5903838_185,5903838,185,0.937,-119.474,2017-06-05
5903844_182,5903844,182,-0.127,-123.4,2017-06-05
5904288_109,5904288,109,-0.148,-92.212,2017-06-05
5904273_154,5904273,154,1.376,-111.137,2017-06-05
3901179_109,3901179,109,1.614,-93.229,2017-06-05
3901182_117,3901182,117,1.443,-103.102,2017-06-05
5903865_194,5903865,194,-0.427,-106.378,2017-06-05
3901171_126,3901171,126,0.023,-113.34,2017-06-05
3901264_092,3901264,92,1.42086,-87.53944,2017-06-04
3901262_092,3901262,92,-0.12635,-87.52645,2017-06-04
5903839_188,5903839,188,0.115,-103.943,2017-06-04
3901260_095,3901260,95,-1.05272,-88.35815,2017-06-04
4902303_046,4902303,46,4.113,-100.502,2017-06-04
3901202_046,3901202,46,0.985,-100.226,2017-06-04
3901168_117,3901168,117,-0.446,-102.842,2017-06-04
3901159_178,3901159,178,1.16496,-111.68568,2017-06-03
3901261_092,3901261,92,1.14756,-88.00773,2017-06-03
5904497_180,5904497,180,-0.56634,-101.96487,2017-06-03
5903864_188,5903864,188,-1.385,-101.896,2017-06-03
4902301_046,4902301,46,3.442,-124.98,2017-06-03
3901034_194,3901034,194,0.258,-113.439,2017-06-03
3901115_194,3901115,194,-2.867,-90.272,2017-06-03
3901154_153,3901154,153,0.296,-97.243,2017-06-03
3901153_153,3901153,153,-0.71,-101.503,2017-06-03
5904499_178,5904499,178,-0.50485,-116.98131,2017-06-03
3901152_153,3901152,153,-0.239,-97.006,2017-06-03
