id,platform,cycle,lat,lon,date
3901260_083,3901260,83,-1.05766,-88.39202,2017-04-05
3901168_111,3901168,111,0.48,-104.063,2017-04-05
5903864_182,5903864,182,-1.447,-104.955,2017-04-04
4902301_040,4902301,40,4.014,-124.95,2017-04-04
3901160_170,3901160,170,0.43992,-114.33408,2017-04-04
3901115_188,3901115,188,-2.465,-91.069,2017-04-04
3901034_188,3901034,188,0.121,-117.708,2017-04-04
5904544_095,5904544,95,1.148,-123.645,2017-04-04
3901153_147,3901153,147,0.142,-103.403,2017-04-04
3901152_147,3901152,147,-0.1,-99.797,2017-04-04
3901154_147,3901154,147,-0.038,-99.996,2017-04-04
3900739_264,3900739,264,1.955,-91.653,2017-04-04
4901503_201,4901503,201,2.82159,-106.61249,2017-04-03
3901163_169,3901163,169,0.75296,-99.54194,2017-04-03
3901164_170,3901164,170,0.50168,-91.18785,2017-04-03
5904277_109,5904277,109,-0.441,-112.418,2017-04-03
5904275_109,5904275,109,-1.86,-104.094,2017-04-03
4901553_095,4901553,95,2.969,-112.941,2017-04-03
5904307_168,5904307,168,-0.36854,-118.51843,2017-04-03
3901197_072,3901197,72,-1.872,-107.627,2017-04-03
3901190_072,3901190,72,-3.36,-109.287,2017-04-03
3901177_103,3901177,103,1.905,-103.179,2017-04-03
3901176_103,3901176,103,1.108,-98.824,2017-04-03
3900674_208,3900674,208,-0.482,-90.086,2017-04-03
5902249_205,5902249,205,-2.264,-123.756,2017-04-02
3901186_111,3901186,111,-4.221,-101.5,2017-04-02
4902304_039,4902304,39,4.736,-93.233,2017-04-02
3901194_072,3901194,72,-4.924,-96.085,2017-04-02
3901150_147,3901150,147,-2.876,-102.786,2017-04-02
3900673_208,3900673,208,0.731,-123.575,2017-04-02
3901178_103,3901178,103,0.798,-90.138,2017-04-02
4901503_200,4901503,200,2.87649,-106.53232,2017-04-02
6901459_116,6901459,116,-4.916,-97.42899999999997,2017-04-01
5904497_171,5904497,171,-0.30797,-103.90782,2017-04-01
5903559_218,5903559,218,-1.249,-103.772,2017-04-01
5904547_094,5904547,94,-4.798,-105.375,2017-04-01
4902300_040,4902300,40,-3.008,-111.954,2017-04-01
3901149_147,3901149,147,-2.58,-98.992,2017-04-01
3901254_038,3901254,38,4.431,-104.837,2017-04-01
