time,time2,year,month,day,winds_u,winds_v
2017-07-27,07-27,2017,7,27,0.116753176,3.613407
2017-07-28,07-28,2017,7,28,-0.20500773,1.6667256
2017-07-29,07-29,2017,7,29,-2.5938401,1.6544898
2017-07-30,07-30,2017,7,30,-1.2603356,1.9977279
2017-07-31,07-31,2017,7,31,0.53207266,1.4301387
2017-08-01,08-01,2017,8,1,-1.6234889,2.7993565
2017-08-02,08-02,2017,8,2,-2.1107714,1.603191
2017-08-03,08-03,2017,8,3,-1.8236041,4.929843
2017-08-04,08-04,2017,8,4,-1.9838223,4.3686805
2017-08-05,08-05,2017,8,5,-3.0086389,3.9183397
2017-08-06,08-06,2017,8,6,-0.75781226,5.518867
2017-08-07,08-07,2017,8,7,-1.1473223,1.5279021
2017-08-08,08-08,2017,8,8,-0.48078248,4.6496763
2017-08-09,08-09,2017,8,9,2.4271836,5.5008388
2017-08-10,08-10,2017,8,10,-2.5582974,1.1456195
2017-08-11,08-11,2017,8,11,-2.4749897,5.921279
2017-08-12,08-12,2017,8,12,0.82003695,5.201319
2017-08-13,08-13,2017,8,13,-1.1894583,1.8580884
2017-08-14,08-14,2017,8,14,-0.23613437,3.4132347
2017-08-15,08-15,2017,8,15,0.07123149,2.9334848
2017-08-16,08-16,2017,8,16,-1.662118,3.2641613
2017-08-17,08-17,2017,8,17,-1.2118839,3.9644918
2017-08-18,08-18,2017,8,18,0.5465836,2.6142604
2017-08-19,08-19,2017,8,19,-1.2800673,4.2404885
2017-08-20,08-20,2017,8,20,-2.6986642,3.8808253
2017-08-21,08-21,2017,8,21,-0.39762393,3.3761992
2017-08-22,08-22,2017,8,22,1.4755181,2.8928714
2017-08-23,08-23,2017,8,23,-1.5912699,2.6219494
2017-08-24,08-24,2017,8,24,-1.0219303,2.1838722
2017-08-25,08-25,2017,8,25,0.36758587,2.2589974
2017-08-26,08-26,2017,8,26,-2.329419,2.8643847
2017-08-27,08-27,2017,8,27,-2.4593859,3.8566284
2017-08-28,08-28,2017,8,28,-1.0405858,3.3686056
2017-08-29,08-29,2017,8,29,-0.542876,2.2025623
2017-08-30,08-30,2017,8,30,-1.4076934,3.4839556
2017-08-31,08-31,2017,8,31,-2.884651,3.981934
2017-09-01,09-01,2017,9,1,-3.810147,4.294262
2017-09-02,09-02,2017,9,2,-2.9946074,2.3504906
2017-09-03,09-03,2017,9,3,-0.32048225,2.580569
2017-09-04,09-04,2017,9,4,0.18344145,0.7782364
2017-09-05,09-05,2017,9,5,-5.616409,2.3794887
2017-09-06,09-06,2017,9,6,-2.366109,3.602745
2017-09-07,09-07,2017,9,7,-0.7635134,2.6093645
2017-09-08,09-08,2017,9,8,-1.3219811,2.2079892
2017-09-09,09-09,2017,9,9,-2.9993317,2.1386287
2017-09-10,09-10,2017,9,10,-1.0597711,3.566024
2017-09-11,09-11,2017,9,11,-1.3947359,3.7658975
2017-09-12,09-12,2017,9,12,-2.6563215,3.731305
2017-09-13,09-13,2017,9,13,-3.2812586,4.2321763
2017-09-14,09-14,2017,9,14,-1.4508543,2.0338132
2017-09-15,09-15,2017,9,15,-0.01691057,-0.34242037
2017-09-16,09-16,2017,9,16,-1.9431102,-0.5693693
2017-09-17,09-17,2017,9,17,-1.3245591,2.1047647
2017-09-18,09-18,2017,9,18,-0.16655391,-1.7691426
2017-09-19,09-19,2017,9,19,0.38286915,1.6652688
2017-09-20,09-20,2017,9,20,0.7045675,3.5621707
2017-09-21,09-21,2017,9,21,-3.0274255,1.1652261
2017-09-22,09-22,2017,9,22,-2.4116821,-1.0631367
2017-09-23,09-23,2017,9,23,-0.48764434,0.4749732
2017-09-24,09-24,2017,9,24,-0.59289104,2.0531824
2017-09-25,09-25,2017,9,25,-2.198397,2.6317198
2017-09-26,09-26,2017,9,26,0.5279779,3.0069516
2017-09-27,09-27,2017,9,27,-0.038539294,-0.8404052
2017-09-28,09-28,2017,9,28,-1.3063236,-0.19655046
2017-09-29,09-29,2017,9,29,1.1083055,0.84837574
2017-09-30,09-30,2017,9,30,1.608403,-0.11838437
2017-10-01,10-01,2017,10,1,-0.9371203,-1.771318
2017-10-02,10-02,2017,10,2,-0.09129643,-1.7222222
2017-10-03,10-03,2017,10,3,0.9117418,0.2760332
2017-10-04,10-04,2017,10,4,-0.07002024,1.6687514
2017-10-05,10-05,2017,10,5,-2.2906785,0.6488585
2017-10-06,10-06,2017,10,6,-4.295529,-2.1990817
2017-10-07,10-07,2017,10,7,-0.64301217,4.361985
2017-10-08,10-08,2017,10,8,-2.9962535,4.517497
2017-10-09,10-09,2017,10,9,-2.123262,1.2228175
2017-10-10,10-10,2017,10,10,-3.561885,-2.1784353
2017-10-11,10-11,2017,10,11,-1.3260305,1.9000287
2017-10-12,10-12,2017,10,12,0.6122077,0.53738266
2017-10-13,10-13,2017,10,13,-1.3662776,-0.40894365
2017-10-14,10-14,2017,10,14,-5.115597,2.1874475
2017-10-15,10-15,2017,10,15,-4.9047413,-0.34285033
2017-10-16,10-16,2017,10,16,-0.85623,1.2681181
2017-10-17,10-17,2017,10,17,-2.5675375,-0.26509574
2017-10-18,10-18,2017,10,18,-0.8718258,-1.0335054
2017-10-19,10-19,2017,10,19,-3.9013088,0.9869697
2017-10-20,10-20,2017,10,20,-4.4422145,-1.7991648
2017-10-21,10-21,2017,10,21,-4.092182,-1.4148794
2017-10-22,10-22,2017,10,22,-1.4179219,-0.627123
2017-10-23,10-23,2017,10,23,-0.17650472,3.0957973
2017-10-24,10-24,2017,10,24,0.85783404,5.1496463
2017-10-25,10-25,2017,10,25,-0.7065299,7.154335
2017-10-26,10-26,2017,10,26,-1.1695106,3.025961
2017-10-27,10-27,2017,10,27,-1.005499,-0.33247554
2017-10-28,10-28,2017,10,28,-0.14399508,1.6904436
2017-10-29,10-29,2017,10,29,0.6274885,3.7128828
2017-10-30,10-30,2017,10,30,1.4439737,3.0006933
2017-10-31,10-31,2017,10,31,1.6511772,1.1400079
2017-11-01,11-01,2017,11,1,-0.94410986,-0.2578265
2017-11-02,11-02,2017,11,2,-2.7861745,0.41153613
2017-11-03,11-03,2017,11,3,-3.8514867,3.7497168
2017-11-04,11-04,2017,11,4,-2.6120725,2.313843
2017-11-05,11-05,2017,11,5,-1.6818135,0.07330566
2017-11-06,11-06,2017,11,6,-3.5612876,0.47416243
2017-11-07,11-07,2017,11,7,-4.111207,2.2573233
2017-11-08,11-08,2017,11,8,-6.4309087,3.9073145
2017-11-09,11-09,2017,11,9,-3.4725251,4.2574177
2017-11-10,11-10,2017,11,10,-1.2226421,-1.1450136
2017-11-11,11-11,2017,11,11,-3.929897,-1.5735021
