time,time2,year,month,day,winds_u,winds_v
2022-06-28,06-28,2022,6,28,-5.0782394,3.3495102
2022-06-29,06-29,2022,6,29,-7.5941925,0.87827384
2022-06-30,06-30,2022,6,30,-6.796409,-0.78625405
2022-07-01,07-01,2022,7,1,-7.1138673,1.0729932
2022-07-02,07-02,2022,7,2,-6.789183,1.351238
2022-07-03,07-03,2022,7,3,-7.208276,1.2456102
2022-07-04,07-04,2022,7,4,-7.7125716,-0.68795365
2022-07-05,07-05,2022,7,5,-7.256501,0.5429828
2022-07-06,07-06,2022,7,6,-7.1725674,-0.44008788
2022-07-07,07-07,2022,7,7,-7.0418386,0.47427166
2022-07-08,07-08,2022,7,8,-6.083653,2.043076
2022-07-09,07-09,2022,7,9,-4.983031,1.7872696
2022-07-10,07-10,2022,7,10,-4.5352755,-1.5401218
2022-07-11,07-11,2022,7,11,-4.697985,0.09102896
2022-07-12,07-12,2022,7,12,-7.0618734,1.5970367
2022-07-13,07-13,2022,7,13,-4.7395463,-1.2305552
2022-07-14,07-14,2022,7,14,-4.5786047,-0.54803646
2022-07-15,07-15,2022,7,15,-6.60395,3.2568314
2022-07-16,07-16,2022,7,16,-6.9458113,2.992286
2022-07-17,07-17,2022,7,17,-6.294148,0.6485579
2022-07-18,07-18,2022,7,18,-6.2439857,-1.3292409
2022-07-19,07-19,2022,7,19,-4.7245445,0.96294254
2022-07-20,07-20,2022,7,20,-4.211399,2.3475227
2022-07-21,07-21,2022,7,21,-3.882123,-1.7834318
2022-07-22,07-22,2022,7,22,-2.0039499,-2.6611278
2022-07-23,07-23,2022,7,23,-3.9378414,-0.62605304
2022-07-24,07-24,2022,7,24,-4.349161,-1.5214913
2022-07-25,07-25,2022,7,25,-4.471216,-1.342882
2022-07-26,07-26,2022,7,26,-5.129809,-2.3592029
2022-07-27,07-27,2022,7,27,-5.3270025,-2.013543
2022-07-28,07-28,2022,7,28,-6.0960836,-0.9939578
2022-07-29,07-29,2022,7,29,-6.2607794,0.4533345
2022-07-30,07-30,2022,7,30,-5.419029,0.60384744
2022-07-31,07-31,2022,7,31,-5.8681855,-2.8591478
2022-08-01,08-01,2022,8,1,-5.251673,-2.124965
2022-08-02,08-02,2022,8,2,-5.6720176,-1.5093428
2022-08-03,08-03,2022,8,3,-4.996564,-2.379093
2022-08-04,08-04,2022,8,4,-4.672214,1.0329087
2022-08-05,08-05,2022,8,5,-3.7320573,2.454471
2022-08-06,08-06,2022,8,6,-2.4578936,-0.544749
2022-08-07,08-07,2022,8,7,-3.187806,-5.330967
2022-08-08,08-08,2022,8,8,-3.659447,-1.748682
2022-08-09,08-09,2022,8,9,-4.2473187,-2.6017153
2022-08-10,08-10,2022,8,10,-4.414075,-0.42207378
2022-08-11,08-11,2022,8,11,,
2022-08-12,08-12,2022,8,12,-2.930219,0.31900007
2022-08-13,08-13,2022,8,13,-4.8982773,-0.61973965
2022-08-14,08-14,2022,8,14,-6.6194806,-0.29803842
2022-08-15,08-15,2022,8,15,-5.220055,-2.0461557
2022-08-16,08-16,2022,8,16,-4.191616,-2.5273976
2022-08-17,08-17,2022,8,17,-3.6345365,-0.30171737
2022-08-18,08-18,2022,8,18,-3.638032,1.7965904
