salinity_sfile,temperature_sfile,pressure,lat,lon,date
,17.900999,84.5,-12.36,-86.9,2019-11-08
,17.8986,84.620003,-12.36,-86.9,2019-11-08
,17.888599,85.120003,-12.36,-86.9,2019-11-08
,17.881001,85.5,-12.36,-86.9,2019-11-08
,17.84866,85.720001,-12.36,-86.9,2019-11-08
,17.74576,86.419998,-12.36,-86.9,2019-11-08
,17.733999,86.5,-12.36,-86.9,2019-11-08
,17.289459,87.120003,-12.36,-86.9,2019-11-08
,17.017,87.5,-12.36,-86.9,2019-11-08
,16.88554,87.919998,-12.36,-86.9,2019-11-08
,16.704,88.5,-12.36,-86.9,2019-11-08
,16.68972,88.620003,-12.36,-86.9,2019-11-08
,16.594519,89.419998,-12.36,-86.9,2019-11-08
,16.584999,89.5,-12.36,-86.9,2019-11-08
,16.41292,90.220001,-12.36,-86.9,2019-11-08
,16.346001,90.5,-12.36,-86.9,2019-11-08
,16.2446,91.019997,-12.36,-86.9,2019-11-08
,16.150999,91.5,-12.36,-86.9,2019-11-08
,16.087582,91.82,-12.36,-86.9,2019-11-08
,15.933,92.599998,-12.36,-86.9,2019-11-08
,15.897266,92.720001,-12.36,-86.9,2019-11-08
,15.665,93.5,-12.36,-86.9,2019-11-08
,15.64748,93.620003,-12.36,-86.9,2019-11-08
,15.519,94.5,-12.36,-86.9,2019-11-08
,15.51802,94.519997,-12.36,-86.9,2019-11-08
,15.47392,95.419998,-12.36,-86.9,2019-11-08
,15.47,95.5,-12.36,-86.9,2019-11-08
,15.44622,96.32,-12.36,-86.9,2019-11-08
,15.441,96.5,-12.36,-86.9,2019-11-08
,15.42132,97.32,-12.36,-86.9,2019-11-08
,15.417,97.5,-12.36,-86.9,2019-11-08
,15.375959,98.220001,-12.36,-86.9,2019-11-08
,15.36,98.5,-12.36,-86.9,2019-11-08
,15.300241,99.220001,-12.36,-86.9,2019-11-08
,15.277,99.5,-12.36,-86.9,2019-11-08
,15.172164,100.120003,-12.36,-86.9,2019-11-08
,15.091,100.599998,-12.36,-86.9,2019-11-08
,15.062533,101.019997,-12.36,-86.9,2019-11-08
,15.03,101.5,-12.36,-86.9,2019-11-08
,14.99932,102.019997,-12.36,-86.9,2019-11-08
,14.971,102.5,-12.36,-86.9,2019-11-08
,14.929934,102.919998,-12.36,-86.9,2019-11-08
,14.883,103.400002,-12.36,-86.9,2019-11-08
,14.856055,103.919998,-12.36,-86.9,2019-11-08
,14.826,104.5,-12.36,-86.9,2019-11-08
,14.78988,104.919998,-12.36,-86.9,2019-11-08
,14.74,105.5,-12.36,-86.9,2019-11-08
,14.72272,105.82,-12.36,-86.9,2019-11-08
,14.686,106.5,-12.36,-86.9,2019-11-08
,14.65112,106.82,-12.36,-86.9,2019-11-08
,14.577,107.5,-12.36,-86.9,2019-11-08
,14.524839,107.82,-12.36,-86.9,2019-11-08
,14.414,108.5,-12.36,-86.9,2019-11-08
,14.389999,108.82,-12.36,-86.9,2019-11-08
,14.339,109.5,-12.36,-86.9,2019-11-08
,14.327363,109.82,-12.36,-86.9,2019-11-08
,14.299,110.599998,-12.36,-86.9,2019-11-08
,14.273755,110.919998,-12.36,-86.9,2019-11-08
,14.228,111.5,-12.36,-86.9,2019-11-08
,14.199533,111.919998,-12.36,-86.9,2019-11-08
,14.167,112.400002,-12.36,-86.9,2019-11-08
,14.162272,112.919998,-12.36,-86.9,2019-11-08
,14.157,113.5,-12.36,-86.9,2019-11-08
,14.15492,114.019997,-12.36,-86.9,2019-11-08
,14.153,114.5,-12.36,-86.9,2019-11-08
,14.138346,115.019997,-12.36,-86.9,2019-11-08
,14.122,115.599998,-12.36,-86.9,2019-11-08
,14.1194,116.119995,-12.36,-86.9,2019-11-08
,14.117,116.599998,-12.36,-86.9,2019-11-08
,14.103133,117.120003,-12.36,-86.9,2019-11-08
,14.093,117.5,-12.36,-86.9,2019-11-08
,14.095067,118.120003,-12.36,-86.9,2019-11-08
,14.096,118.400002,-12.36,-86.9,2019-11-08
,14.095255,119.220001,-12.36,-86.9,2019-11-08
,14.095,119.5,-12.36,-86.9,2019-11-08
,14.0806,120.220001,-12.36,-86.9,2019-11-08
,14.075,120.5,-12.36,-86.9,2019-11-08
,14.072763,121.32,-12.36,-86.9,2019-11-08
,14.072,121.599998,-12.36,-86.9,2019-11-08
,14.07776,122.32,-12.36,-86.9,2019-11-08
,14.08,122.599998,-12.36,-86.9,2019-11-08
,14.0836,123.32,-12.36,-86.9,2019-11-08
,14.085,123.599998,-12.36,-86.9,2019-11-08
,14.0858,124.32,-12.36,-86.9,2019-11-08
,14.086,124.5,-12.36,-86.9,2019-11-08
,14.08436,125.32,-12.36,-86.9,2019-11-08
,14.084,125.5,-12.36,-86.9,2019-11-08
,14.060891,126.32,-12.36,-86.9,2019-11-08
,14.053,126.599998,-12.36,-86.9,2019-11-08
,14.046111,127.220001,-12.36,-86.9,2019-11-08
,14.043,127.5,-12.36,-86.9,2019-11-08
,14.045333,128.199997,-12.36,-86.9,2019-11-08
,14.046,128.399994,-12.36,-86.9,2019-11-08
,14.078073,129.119995,-12.36,-86.9,2019-11-08
,14.095,129.5,-12.36,-86.9,2019-11-08
,14.09562,130.119995,-12.36,-86.9,2019-11-08
,14.096,130.5,-12.36,-86.9,2019-11-08
,14.06012,131.020004,-12.36,-86.9,2019-11-08
,14.027,131.5,-12.36,-86.9,2019-11-08
,13.9995,132.0,-12.36,-86.9,2019-11-08
,13.972,132.5,-12.36,-86.9,2019-11-08
,13.96066,132.919998,-12.36,-86.9,2019-11-08
,13.945,133.5,-12.36,-86.9,2019-11-08
,13.941159,133.820007,-12.36,-86.9,2019-11-08
,13.933,134.5,-12.36,-86.9,2019-11-08
,13.92684,134.720001,-12.36,-86.9,2019-11-08
,13.905,135.5,-12.36,-86.9,2019-11-08
,13.901879,135.619995,-12.36,-86.9,2019-11-08
,13.879,136.5,-12.36,-86.9,2019-11-08
,13.87768,136.520004,-12.36,-86.9,2019-11-08
,13.813,137.5,-12.36,-86.9,2019-11-08
,13.7347,138.399994,-12.36,-86.9,2019-11-08
,13.726,138.5,-12.36,-86.9,2019-11-08
,13.7014,139.320007,-12.36,-86.9,2019-11-08
,13.696,139.5,-12.36,-86.9,2019-11-08
,13.67152,140.220001,-12.36,-86.9,2019-11-08
,13.662,140.5,-12.36,-86.9,2019-11-08
,13.6279,141.119995,-12.36,-86.9,2019-11-08
,13.607,141.5,-12.36,-86.9,2019-11-08
,13.57424,142.020004,-12.36,-86.9,2019-11-08
,13.544,142.5,-12.36,-86.9,2019-11-08
,13.52678,142.919998,-12.36,-86.9,2019-11-08
,13.503,143.5,-12.36,-86.9,2019-11-08
,13.48764,143.820007,-12.36,-86.9,2019-11-08
,13.455,144.5,-12.36,-86.9,2019-11-08
,13.444,144.699997,-12.36,-86.9,2019-11-08
,13.4,145.5,-12.36,-86.9,2019-11-08
,13.396299,145.600006,-12.36,-86.9,2019-11-08
,13.363,146.5,-12.36,-86.9,2019-11-08
,13.35644,147.320007,-12.36,-86.9,2019-11-08
,13.355,147.5,-12.36,-86.9,2019-11-08
,13.3478,148.399994,-12.36,-86.9,2019-11-08
,13.347,148.5,-12.36,-86.9,2019-11-08
,13.3342,149.300003,-12.36,-86.9,2019-11-08
,13.331,149.5,-12.36,-86.9,2019-11-08
,13.3212,150.199997,-12.36,-86.9,2019-11-08
,13.317,150.5,-12.36,-86.9,2019-11-08
,13.305,151.100006,-12.36,-86.9,2019-11-08
,13.297,151.5,-12.36,-86.9,2019-11-08
,13.2725,152.0,-12.36,-86.9,2019-11-08
,13.248,152.5,-12.36,-86.9,2019-11-08
,13.2324,152.899994,-12.36,-86.9,2019-11-08
,13.209,153.5,-12.36,-86.9,2019-11-08
,13.1985,153.800003,-12.36,-86.9,2019-11-08
,13.174,154.5,-12.36,-86.9,2019-11-08
,13.167399,154.699997,-12.36,-86.9,2019-11-08
,13.141,155.5,-12.36,-86.9,2019-11-08
,13.1394,155.600006,-12.36,-86.9,2019-11-08
,13.125,156.5,-12.36,-86.9,2019-11-08
,13.1237,156.600006,-12.36,-86.9,2019-11-08
,13.112,157.5,-12.36,-86.9,2019-11-08
,13.096701,158.399994,-12.36,-86.9,2019-11-08
,13.095,158.5,-12.36,-86.9,2019-11-08
,13.0374,159.399994,-12.36,-86.9,2019-11-08
,13.031,159.5,-12.36,-86.9,2019-11-08
,13.0126,160.300003,-12.36,-86.9,2019-11-08
,13.008,160.5,-12.36,-86.9,2019-11-08
,12.9856,161.300003,-12.36,-86.9,2019-11-08
,12.98,161.5,-12.36,-86.9,2019-11-08
,12.9702,162.199997,-12.36,-86.9,2019-11-08
,12.966,162.5,-12.36,-86.9,2019-11-08
,12.9422,163.199997,-12.36,-86.9,2019-11-08
,12.932,163.5,-12.36,-86.9,2019-11-08
,12.9124,164.199997,-12.36,-86.9,2019-11-08
,12.904,164.5,-12.36,-86.9,2019-11-08
,12.8908,165.100006,-12.36,-86.9,2019-11-08
,12.882,165.5,-12.36,-86.9,2019-11-08
,12.8631,166.199997,-12.36,-86.9,2019-11-08
,12.855,166.5,-12.36,-86.9,2019-11-08
,12.8375,167.199997,-12.36,-86.9,2019-11-08
,12.83,167.5,-12.36,-86.9,2019-11-08
,12.8223,168.199997,-12.36,-86.9,2019-11-08
,12.819,168.5,-12.36,-86.9,2019-11-08
,12.8176,169.199997,-12.36,-86.9,2019-11-08
,12.817,169.5,-12.36,-86.9,2019-11-08
,12.81,170.199997,-12.36,-86.9,2019-11-08
,12.807,170.5,-12.36,-86.9,2019-11-08
,12.7746,171.399994,-12.36,-86.9,2019-11-08
,12.771,171.5,-12.36,-86.9,2019-11-08
,12.727799,172.399994,-12.36,-86.9,2019-11-08
,12.723,172.5,-12.36,-86.9,2019-11-08
,12.7104,173.399994,-12.36,-86.9,2019-11-08
,12.709,173.5,-12.36,-86.9,2019-11-08
,12.7,174.5,-12.36,-86.9,2019-11-08
,12.678,175.5,-12.36,-86.9,2019-11-08
,12.6765,175.600006,-12.36,-86.9,2019-11-08
,12.663,176.5,-12.36,-86.9,2019-11-08
,12.6587,176.600006,-12.36,-86.9,2019-11-08
,12.62,177.5,-12.36,-86.9,2019-11-08
,12.6152,177.699997,-12.36,-86.9,2019-11-08
,12.596,178.5,-12.36,-86.9,2019-11-08
,12.592,178.899994,-12.36,-86.9,2019-11-08
,12.586,179.5,-12.36,-86.9,2019-11-08
,12.5845,180.0,-12.36,-86.9,2019-11-08
,12.583,180.5,-12.36,-86.9,2019-11-08
,12.581364,181.100006,-12.36,-86.9,2019-11-08
,12.58,181.600006,-12.36,-86.9,2019-11-08
,12.5776,182.200012,-12.36,-86.9,2019-11-08
,12.576,182.600006,-12.36,-86.9,2019-11-08
,12.572888,183.300003,-12.36,-86.9,2019-11-08
,12.572,183.5,-12.36,-86.9,2019-11-08
,12.5666,184.399994,-12.36,-86.9,2019-11-08
,12.566,184.5,-12.36,-86.9,2019-11-08
,12.554,185.5,-12.36,-86.9,2019-11-08
,12.544,186.5,-12.36,-86.9,2019-11-08
,12.5428,186.600006,-12.36,-86.9,2019-11-08
,12.532,187.5,-12.36,-86.9,2019-11-08
,12.5294,187.699997,-12.36,-86.9,2019-11-08
,12.519,188.5,-12.36,-86.9,2019-11-08
