salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
35.322399,30.563999,86.0,,-3.79,162.53,2024-08-13
35.332798,30.5516,86.800003,,-3.79,162.53,2024-08-13
35.345798,30.5361,87.800003,184.52356,-3.79,162.53,2024-08-13
35.3484,30.533001,88.0,,-3.79,162.53,2024-08-13
35.361584,30.504694,88.760002,,-3.79,162.53,2024-08-13
35.379623,30.465958,89.800003,181.595322,-3.79,162.53,2024-08-13
35.382401,30.459999,89.959999,,-3.79,162.53,2024-08-13
35.391323,30.43,90.760002,,-3.79,162.53,2024-08-13
35.40337,30.3895,91.839996,180.742798,-3.79,162.53,2024-08-13
35.405602,30.382,92.040001,,-3.79,162.53,2024-08-13
35.407482,30.380823,92.839996,,-3.79,162.53,2024-08-13
35.40974,30.379412,93.800003,180.12558,-3.79,162.53,2024-08-13
35.4104,30.379,94.080002,,-3.79,162.53,2024-08-13
35.414074,30.375937,94.919998,,-3.79,162.53,2024-08-13
35.417927,30.372728,95.800003,178.672577,-3.79,162.53,2024-08-13
35.4188,30.372,96.0,,-3.79,162.53,2024-08-13
35.424763,30.3531,96.839996,,-3.79,162.53,2024-08-13
35.43243,30.3288,97.919998,176.188522,-3.79,162.53,2024-08-13
35.432999,30.327,98.0,,-3.79,162.53,2024-08-13
35.432384,30.260561,98.879997,,-3.79,162.53,2024-08-13
35.431683,30.185061,99.879997,174.540924,-3.79,162.53,2024-08-13
35.431599,30.176001,100.0,,-3.79,162.53,2024-08-13
35.434677,30.13464,100.879997,,-3.79,162.53,2024-08-13
35.438179,30.087641,101.879997,172.116623,-3.79,162.53,2024-08-13
35.438599,30.082001,102.0,,-3.79,162.53,2024-08-13
35.451385,29.985861,102.919998,,-3.79,162.53,2024-08-13
35.465286,29.881359,103.919998,168.149567,-3.79,162.53,2024-08-13
35.4664,29.872999,104.0,,-3.79,162.53,2024-08-13
35.481396,29.766142,104.879997,,-3.79,162.53,2024-08-13
35.495712,29.664143,105.720001,165.082718,-3.79,162.53,2024-08-13
35.499802,29.635,105.959999,,-3.79,162.53,2024-08-13
35.516266,29.56444,106.800003,,-3.79,162.53,2024-08-13
35.538216,29.47036,107.919998,162.788803,-3.79,162.53,2024-08-13
35.539001,29.466999,107.959999,,-3.79,162.53,2024-08-13
35.548328,29.4252,108.839996,,-3.79,162.53,2024-08-13
35.558502,29.379601,109.800003,161.531723,-3.79,162.53,2024-08-13
